id_tweet;usuario;fecha_hora
1587840430699421696;IndridCold420;2022-11-02T16:13:53.000Z
1587840432372867074;RockLee23_;2022-11-02T16:13:54.000Z
1587840431898902529;Jeff05311342;2022-11-02T16:13:54.000Z
1587840431815118849;mhysabeth;2022-11-02T16:13:54.000Z
1587840430028206080;a_meta4;2022-11-02T16:13:53.000Z
1587840433517776896;yo_whyme;2022-11-02T16:13:54.000Z
1587840436042883077;youngun21a;2022-11-02T16:13:55.000Z
1587840438135918592;Chickenhearts69;2022-11-02T16:13:55.000Z
1587840439457038337;Madre27483340;2022-11-02T16:13:56.000Z
1587840443923845121;fuuuuuuuucckup;2022-11-02T16:13:57.000Z
1587840442624020480;copious28;2022-11-02T16:13:56.000Z
1587840443902992385;DanielA16797175;2022-11-02T16:13:57.000Z
1587840443907280897;CJLifesABeach80;2022-11-02T16:13:57.000Z
1587840444720988164;K0FaSho;2022-11-02T16:13:57.000Z
1587840442875478018;Cixs70;2022-11-02T16:13:56.000Z
1587840442078461953;iceberg89867316;2022-11-02T16:13:56.000Z
1587840448693141505;MathanJancy;2022-11-02T16:13:58.000Z
1587840448294436864;iggybirdd;2022-11-02T16:13:58.000Z
1587840449502388225;TShautv;2022-11-02T16:13:58.000Z
1587840452203380737;jdsungura0221;2022-11-02T16:13:59.000Z
1587840450505093121;RockyP60439246;2022-11-02T16:13:58.000Z
1587840451603595264;Trade_Alerts_;2022-11-02T16:13:58.000Z
1587840455902785536;WadeBWard;2022-11-02T16:13:59.000Z
1587840457555558400;JoeKaliYuga;2022-11-02T16:14:00.000Z
1587840455546281984;iskinder007;2022-11-02T16:13:59.000Z
1587840454032207872;eb_darcy;2022-11-02T16:13:59.000Z
1587840455747768320;myshadowdays;2022-11-02T16:13:59.000Z
1587840456502947840;centruroid1966;2022-11-02T16:14:00.000Z
1587840453025693696;msm_bold;2022-11-02T16:13:59.000Z
1587840457601536000;TheComixKid;2022-11-02T16:14:00.000Z
1587840460638195714;Sashk01;2022-11-02T16:14:01.000Z
1587840460579491841;Elana02844806;2022-11-02T16:14:01.000Z
1587840462706073600;Mickimac13;2022-11-02T16:14:01.000Z
1587840463855288320;BajramiZeni;2022-11-02T16:14:01.000Z
1587840466397044738;HamzaYesuf4;2022-11-02T16:14:02.000Z
1587840464635535361;ElonEpstein;2022-11-02T16:14:02.000Z
1587840467533983746;syedalisafvi;2022-11-02T16:14:02.000Z
1587840470045974528;chase__burke;2022-11-02T16:14:03.000Z
1587840468494471173;Covid19_REAL_YO;2022-11-02T16:14:02.000Z
1587840472772493312;Roberts175;2022-11-02T16:14:04.000Z
1587840473275797506;QNT_Divergence;2022-11-02T16:14:04.000Z
1587840473896751104;CDNPosts;2022-11-02T16:14:04.000Z
1587840472260681729;Lindseypeach76;2022-11-02T16:14:03.000Z
1587840478476898310;RevChuckCurrie;2022-11-02T16:14:05.000Z
1587840477503655936;CicmilJovan;2022-11-02T16:14:05.000Z
1587840476471779330;VaticanBTC;2022-11-02T16:14:04.000Z
1587840478405226497;hammereater;2022-11-02T16:14:05.000Z
1587840481253261314;sebschindler;2022-11-02T16:14:06.000Z
1587840480317829121;DogeDillionaire;2022-11-02T16:14:05.000Z
1587840480259309568;peakingsassy;2022-11-02T16:14:05.000Z
1587840479919480833;ghostri73882;2022-11-02T16:14:05.000Z
1587840480670371840;alouie14;2022-11-02T16:14:05.000Z
1587840484520898560;IncomeWebsites5;2022-11-02T16:14:06.000Z
1587840487406411776;EileenC81339805;2022-11-02T16:14:07.000Z
1587840484210348035;KCNep95;2022-11-02T16:14:06.000Z
1587840483442626560;DrunkKobold;2022-11-02T16:14:06.000Z
1587840483623145474;keru_ronald;2022-11-02T16:14:06.000Z
1587840490254176256;Kikochaa;2022-11-02T16:14:08.000Z
1587840491600609284;FunmanLone;2022-11-02T16:14:08.000Z
1587840491189866496;MarcoSigillo7;2022-11-02T16:14:08.000Z
1587840494545080322;SurtseyAna;2022-11-02T16:14:09.000Z
1587840492154355712;CaptainCornbred;2022-11-02T16:14:08.000Z
1587840494217871360;ActiveOnSpotify;2022-11-02T16:14:09.000Z
1587840493664116736;WiliamRobles4;2022-11-02T16:14:08.000Z
1587840492062052353;PemidaSpeaks;2022-11-02T16:14:08.000Z
1587840496105410561;JebbYoung;2022-11-02T16:14:09.000Z
1587840496902316036;scootj1289;2022-11-02T16:14:09.000Z
1587840497179103234;BurnYourMetal;2022-11-02T16:14:09.000Z
1587840499074957314;pqbooicu;2022-11-02T16:14:10.000Z
1587840496202043392;wellness_ian;2022-11-02T16:14:09.000Z
1587840501855637504;isralite4ever17;2022-11-02T16:14:10.000Z
1587840502178758658;grivenchy;2022-11-02T16:14:11.000Z
1587840501872459777;_tgwilson_;2022-11-02T16:14:10.000Z
1587840501373435905;superliddy;2022-11-02T16:14:10.000Z
1587840505689214976;EricRogersHere;2022-11-02T16:14:11.000Z
1587840504733077512;RodFair41;2022-11-02T16:14:11.000Z
1587840505991282688;iam1dot;2022-11-02T16:14:11.000Z
1587840505978662917;Ocswagg;2022-11-02T16:14:11.000Z
1587840510323851264;Obajisunajacche;2022-11-02T16:14:12.000Z
1587840507811610624;gavbath;2022-11-02T16:14:12.000Z
1587840512865832961;Douglasfxs;2022-11-02T16:14:13.000Z
1587840515759808512;SocialGuru007;2022-11-02T16:14:14.000Z
1587840513872433152;riminiray;2022-11-02T16:14:13.000Z
1587840513037713409;Jbcool2812;2022-11-02T16:14:13.000Z
1587840513813938178;DoublePlusGoo;2022-11-02T16:14:13.000Z
1587840512433672192;SumaJAmin;2022-11-02T16:14:13.000Z
1587840515294257153;RonnieObama;2022-11-02T16:14:14.000Z
1587840509938122762;ItsMeMario82;2022-11-02T16:14:12.000Z
1587840519916265473;BreakingPoets;2022-11-02T16:14:15.000Z
1587840517550874625;Skeletorsboss;2022-11-02T16:14:14.000Z
1587840523682910208;camandbrie;2022-11-02T16:14:16.000Z
1587840521896341509;CayaBerndt;2022-11-02T16:14:15.000Z
1587840522647142400;FallApartMan;2022-11-02T16:14:15.000Z
1587840522185363457;RaynerDSouza2;2022-11-02T16:14:15.000Z
1587840526924926977;TopazToo;2022-11-02T16:14:16.000Z
1587840529118552064;chaz4444;2022-11-02T16:14:17.000Z
1587840526216269830;dee20002;2022-11-02T16:14:16.000Z
1587840528502214658;Rob_Flanagan07;2022-11-02T16:14:17.000Z
1587840531647848448;RobertJ04760227;2022-11-02T16:14:18.000Z
1587840533921234947;BrohaskaH;2022-11-02T16:14:18.000Z
1587840530339155968;LLight;2022-11-02T16:14:17.000Z
